name,school,level,cast_time,distance,target,duration,save,resist,component,area,effect,description
Анализ чар,прорицание,"бард 6, чародей / волшебник 6",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),один предмет или существо / 1 УЗ,1 раунд / 1 УЗ (П),нет или испытание Воли отменяет; см. текст,нет,"С, Ж, Ф (рубиновая линза в золотой оправе стоимостью 1500 зм)",,,"<p>С помощью этого заклинания вы начинаете хорошо видеть магические ауры. Каждый раунд вы в качестве свободного действия можете посмотреть на одно существо или предмет. Если вы анализируете таким образом волшебный предмет, то немедленно распознаете его свойства (включая любые проклятия), способы их активации (если их надо активировать) и количество оставшихся зарядов (если у предмета есть заряды). Если вы анализируете предмет или существо, на который или которое наложены заклинания, вы выясняете название, параметры и УЗ каждого из этих заклинаний.</p>
<p>Если предмет находится у кого-то, то владелец, если хочет, имеет право попытаться заставить эту вещь пройти испытание Воли. В случае успеха вы не узнаете про предмет ничего, что нельзя было бы увидеть невооруженным глазом. После успешного прохождения испытания предмет становится неуязвим к любым новым попыткам применить к нему анализ чар на 24 часа.</p>
<p>Анализ чар не действует на артефакты.</p>"
Антипатия,очарование (принуждение) [влияет на разум],"друид 9, чародей / волшебник 8",1 час,близкая (25 футов + 5 футов / 2 УЗ),место (максимум один куб 10×10×10) за УЗ или один предмет,2 часа / 1 УЗ (П),Воли ослабляет (см. текст),да,"С, Ж, Р / СФ (квасцы, вымоченные в уксусе)",,,"<p>Заколдованный вами предмет или место испускает магические эманации, отвратительные для определенного вида разумных существ или для существ определенного мировоззрения (по вашему выбору). Должен быть выбран конкретный вид существ, просто выбрать подтип недостаточно. Мировоззрение тоже следует выбирать только одно определенное.</p>
<p>Существа выбранного вида или мировоззрения чувствуют необходимость покинуть заколдованное место или избегать заколдованный предмет; они никогда добровольно к нему не возвращаются. Существо, успешно прошедшее испытание Воли, может оставаться в заколдованном месте или прикасаться к заколдованному предмету, но ему это будет неприятно. От дискомфорта Ловкость существа временно уменьшается на 4.</p>
<p>Антипатия нейтрализует и рассеивает симпатию.</p>"
Астральная проекция,некромантия,"жрец 9, чародей / волшебник 9",30 минут,касание,вы и один доброволец / 2 УЗ,см. текст,нет,да,"С, Ж, Р (камень гиацинт стоимостью 1000 зм)",,,"<p>При помощи этого заклинания вы высвобождаете свой дух из физического тела, отправляясь в астральном теле на иной план.</p>
<p>Вы можете взять с собой других существ, которые для этого должны образовать вместе с вами круг в момент сотворения заклинания. Эти спутники не могут путешествовать отдельно от вас: если во время путешествия с вами что-нибудь случится, они застрянут там, где вы их оставите.</p>
<p>Создавая астральную проекцию, вы оставляете позади физическое тело в бесчувственном состоянии. Заклинание создает астральную копию не только вас лично, но и всего, что вы носите на себе и с собой. Поскольку Астральный план соприкасается с другими планами, вы можете путешествовать через него в любой из них. При этом вы покидаете Астральный план и формируете новое физическое тело (со всеми своими вещами) на том плане, который решили посетить.</p>
<p>Пока вы находитесь на Астральном плане, ваше тело-проекция прочно соединено с телом физическим при помощи нематериальной серебряной нити. Если ее разрезать, то вы погибаете; к счастью, мало что способно эту нить уничтожить. Когда вы формируете новое тело в другом мире, ваша серебряная нить невидимо крепится к этому новому телу. Если убить второе тело или астральную форму, нить просто возвращает вас в основное физическое тело, пробуждая его от бесчувственного состояния. Это травмирующий опыт: в случае гибели астрального или вторичного тела вы получаете два постоянных отрицательных уровня. Хотя созданная заклинанием проекция вполне функциональна на Астральном плане, взаимодействовать она может только с тем, что есть в самом Астрале: для любого другого мира нужно физическое тело.</p>
<p>Вы со своими спутниками можете путешествовать по Астральному плану сколь угодно долго: ваши настоящие тела так и будут лежать в беспамятстве, пока вы не вернетесь в них. Заклинание работает, пока вы сами не решите прервать его действие или же его не прервет что-то внешнее — например, рассеивание магии, направленное или на физическое тело, или на астральное; перерезание серебряной нити или уничтожение физического тела (это вас мгновенно убивает).</p>
<p>Когда заклинание прекращает работать, ваше астральное тело и все его вещи пропадают.</p>"
Аура святости,преграждение [добро],жрец 8,1 основное действие,20 футов,одно существо / 1 УЗ в радиусе 20 футов от вас (взрыв),1 раунд / 1 УЗ (П),см. текст,да (безвредно),"С, Ж, Ф (маленький реликварий стоимостью 500 зм)",,,"<p>Это заклинание окутывает небесным сиянием, давая защиту от магии злых существ. Оно также ослепляет всех злых противников, которые атакуют защищенных этим заклинанием.</p>
<p>Всего у ауры святости есть четыре эффекта.</p>
<p>Во-первых, каждое защищенное существо получает бонусы +4 (отражение) к КБ и +4 (сопротивляемость) ко всем испытаниям. В отличие от заклинания защита от зла, эти бонусы используются при нападении любых противников, а не только принципиальных существ.</p>
<p>Во-вторых, каждое защищенное существо получает УкМ 25 от злых заклинаний и от всех заклинаний, сотворенных злыми существами.</p>
<p>В-третьих, это заклинание защищает от захвата тела и разума, точно так же как и защита от зла.</p>
<p>Наконец, если злое существо попадает по защищенному в ближнем бою, то оно слепнет на 1 раунд (успешное испытание Воли отменяет этот эффект, как в случае заклинания слепоты / глухоты, но со СЛ, соответствующей заклинанию аура святости).</p>"
Аура магии,иллюзия (морок),"бард 1, чародей / волшебник 1",1 основное действие,касание,один предмет весом не более 5 фунтов / 1 УЗ,1 день / 1 УЗ (П),нет; см. текст,нет,"С, Ж, Ф (лоскут шелка, которым проводят по предмету)",,,"<p>Вы меняете ауру предмета так, что он для всех заклинаний обнаружения и определения (а также всех схожих с ними способностей) выглядит либо как немагический, либо как волшебный (определенного типа, по вашему выбору), либо как носитель заклинания по вашему выбору. Если кто-то направляет на такой предмет заклинание опознание, то он распознает ауру как ложную и выявляет реальные свойства предмета, успешно пройдя испытание Воли. В противном случае он верит тому, что показывает аура, и дополнительное изучение не дает ему новой информации. Если собственная аура предмета особенно сильна (например, это артефакт), то аура магии не работает.</p>
<p>Примечание: волшебное оружие, щит или доспехи — всегда искусно сделанные вещи, поэтому меч среднего качества с магической аурой выглядит подозрительно.</p>"
Барьер для вредителей,преграждение,"бард 4, жрец 4, друид 4, следопыт 3",1 основное действие,10 футов,,10 мин. / 1 УЗ (П),нет или испытание Воли отменяет; см. текст,да,"С, Ж, СФ",эманация радиусом 10 футов с вами в центре,,"<p>Невидимый барьер вокруг вас не пропускает вредителей. Если их суммарное количество КЗ меньше одной трети вашего УЗ, то они не могут пройти сквозь барьер; если их суммарное количество КЗ равно одной трети вашего УЗ и более, то они могут пробиться, успешно пройдя испытание Воли. При этом пересечение барьера наносит вредителям 2d6 урона и причиняет боль, которой такие существа обычно стараются избегать.</p>"
Барьер для жизни,преграждение,"жрец 6, друид 6",1 раунд,10 футов,,1 мин. / 1 УЗ (П),нет,да,"С, Ж, СФ","излучение в радиусе 10 футов, с центром на вас",,"<p>Вы создаете подвижную энергетическую полусферу, не впускающую внутрь большинство живых существ. Этот эффект ограждает от аберраций, волшебных зверей, вредителей, гуманоидных чудовищ, гуманоидов, драконов, животных, жиж, растений и фей, но не от конструкций, нежити или потусторонних существ. Барьер для жизни можно использовать для защиты, но не для нападения: если пытаться давить этим барьером на любых живых существ, он рассеивается.</p>"
Барьер для растений,преграждение,друид 4,1 основное действие,10 футов,,1 мин. / 1 УЗ (П),нет,да,"С, Ж, СФ","эманация радиусом 10 футов, с центром на вас",,"<p>Это заклинание создает невидимый, двигающийся вместе с вами барьер, полностью защищающий всех внутри от атак растительных чудовищ или оживленных растений. Как и многие другие заклинания-преграды, барьер для растений можно использовать для защиты, но не для нападения: если попытаться давить этим барьером существ, от которых он защищает, заклинание рассеивается.</p>"
Безудержная пляска,очарование (принуждение) [разум],"бард 6, чародей / волшебник 8",1 основное действие,касание,одно живое существо,1d4+1 раунд,Воли ослабляет,нет,C,,,"<p>Существо испытывает неудержимое желание танцевать. Оно пляшет, притопывая и перебирая ногами, и не предпринимает никаких действий, кроме этого. Существо получает штраф –4 к КБ и –10 к испытаниям Реакции; оно также теряет модификаторы к КБ за щит. Каждый раунд пляшущее существо провоцирует внеочередные атаки. Успешное испытание Воли уменьшает длительность эффекта до 1 раунда.</p>"
Безудержный смех,очарование (принуждение) [разум],"бард 1, чародей / волшебник 2",1 основное действие,близкая (25 футов + 5 футов / 2 УЗ),одно существо; см. текст,1 раунд / 1 УЗ,Воли отменяет,да,"С, Ж, Р (фруктовые пирожные и перо)",,,"<p>Это заклинание заставляет существо безудержно хохотать, распластавшись на земле. Смеющийся не может предпринимать никаких действий, но не считается беспомощным. В начале своего следующего хода он может еще раз попытаться пройти испытание, чтобы прекратить смеяться; это действие занимает полный раунд и не открывает объект заклинания для внеплановых атак. При успехе заклинание прекращает действовать; при провале существо продолжает смеяться, пока длятся чары. После того как заклинание прекращает работать, существо снова может действовать как обычно.</p>
<p>Это заклинание не действует на существ с Интеллектом 2 или меньше; существа, чей тип отличается от типа заклинателя, получают +4 на прохождение испытания из-за разницы в чувстве юмора.</p>"
